Gene_id,Condition
TCGA_AA_3860_01A,Cancer
TCGA_A6_5665_01B,Cancer
TCGA_QG_A5YW_01A,Cancer
TCGA_D5_6540_01A,Cancer
TCGA_CA_6718_01A,Cancer
TCGA_A6_2685_11A,Normal
TCGA_A6_2683_11A,Normal
TCGA_G4_6323_01A,Cancer
TCGA_AA_3986_01A,Cancer
TCGA_AA_3520_01A,Cancer
TCGA_A6_5662_01A,Cancer
TCGA_AA_3831_01A,Cancer
TCGA_AA_A02H_01A,Cancer
TCGA_CM_6676_01A,Cancer
TCGA_AD_6899_01A,Cancer
TCGA_AA_3685_01A,Cancer
TCGA_CK_5915_01A,Cancer
TCGA_AD_6548_01A,Cancer
TCGA_AA_3548_01A,Cancer
TCGA_A6_6141_01A,Cancer
TCGA_F4_6461_01A,Cancer
TCGA_F4_6854_01A,Cancer
TCGA_F4_6856_01A,Cancer
TCGA_AY_A54L_01A,Cancer
TCGA_AA_3538_01A,Cancer
TCGA_AA_3842_01A,Cancer
TCGA_AZ_4308_01A,Cancer
TCGA_CK_6746_01A,Cancer
TCGA_AA_3509_01A,Cancer
TCGA_AA_3680_01A,Cancer
TCGA_AZ_6605_11A,Normal
TCGA_A6_5656_01A,Cancer
TCGA_CM_6680_01A,Cancer
TCGA_A6_6650_01B,Cancer
TCGA_A6_6140_01A,Cancer
TCGA_AA_A024_01A,Cancer
TCGA_A6_2682_01A,Cancer
TCGA_CM_6675_01A,Cancer
TCGA_DM_A1D7_01A,Cancer
TCGA_F4_6460_01A,Cancer
TCGA_AA_3655_01A,Cancer
TCGA_CM_6169_01A,Cancer
TCGA_AA_3952_01A,Cancer
TCGA_A6_5666_01A,Cancer
TCGA_T9_A92H_01A,Cancer
TCGA_A6_5665_01A,Cancer
TCGA_NH_A8F7_06A,Cancer
TCGA_AA_3846_01A,Cancer
TCGA_CK_4950_01A,Cancer
TCGA_F4_6570_01A,Cancer
TCGA_AZ_6600_01A,Cancer
TCGA_AA_A00J_01A,Cancer
TCGA_AA_3667_01A,Cancer
TCGA_AA_3522_11A,Normal
TCGA_A6_5661_01A,Cancer
TCGA_AA_3554_01A,Cancer
TCGA_AZ_6606_01A,Cancer
TCGA_AA_3852_01A,Cancer
TCGA_D5_6922_01A,Cancer
TCGA_A6_6137_01A,Cancer
TCGA_A6_2672_01A,Cancer
TCGA_AA_3495_01A,Cancer
TCGA_A6_6650_01A,Cancer
TCGA_D5_7000_01A,Cancer
TCGA_A6_2678_01A,Cancer
TCGA_F4_6704_11A,Normal
TCGA_AA_3976_01A,Cancer
TCGA_AA_3811_01A,Cancer
TCGA_AA_A01V_01A,Cancer
TCGA_AD_A5EJ_01A,Cancer
TCGA_A6_2674_01B,Cancer
TCGA_AA_3819_01A,Cancer
TCGA_CM_6172_01A,Cancer
TCGA_AA_A02Y_01A,Cancer
TCGA_AZ_6603_01A,Cancer
TCGA_AA_A022_01A,Cancer
TCGA_NH_A8F8_01A,Cancer
TCGA_G4_6626_01A,Cancer
TCGA_AA_3875_01A,Cancer
TCGA_G4_6306_01A,Cancer
TCGA_G4_6320_01A,Cancer
TCGA_CK_6748_01A,Cancer
TCGA_AA_3864_01A,Cancer
TCGA_A6_6142_01A,Cancer
TCGA_AA_A01Q_01A,Cancer
TCGA_CA_5796_01A,Cancer
TCGA_A6_2676_01A,Cancer
TCGA_A6_A567_01A,Cancer
TCGA_AA_3713_01A,Cancer
TCGA_A6_6648_01A,Cancer
TCGA_A6_A565_01A,Cancer
TCGA_F4_6855_01A,Cancer
TCGA_DM_A1D4_01A,Cancer
TCGA_A6_2675_01A,Cancer
TCGA_CM_5861_01A,Cancer
TCGA_DM_A1HB_01A,Cancer
TCGA_AY_A8YK_01A,Cancer
TCGA_DM_A1D9_01A,Cancer
TCGA_AA_3666_01A,Cancer
TCGA_AZ_4313_01A,Cancer
TCGA_AA_3520_11A,Normal
TCGA_A6_6652_01A,Cancer
TCGA_AA_3655_11A,Normal
TCGA_AY_4070_01A,Cancer
TCGA_AA_A02W_01A,Cancer
TCGA_AZ_6605_01A,Cancer
TCGA_DM_A28C_01A,Cancer
TCGA_D5_6927_01A,Cancer
TCGA_AA_3980_01A,Cancer
TCGA_AZ_6603_11A,Normal
TCGA_AA_3681_01A,Cancer
TCGA_AA_3492_01A,Cancer
TCGA_AA_3861_01A,Cancer
TCGA_A6_2671_01A,Cancer
TCGA_A6_6781_01A,Cancer
TCGA_D5_6535_01A,Cancer
TCGA_AA_A029_01A,Cancer
TCGA_AD_6963_01A,Cancer
TCGA_CM_4747_01A,Cancer
TCGA_NH_A50T_01A,Cancer
TCGA_CK_5914_01A,Cancer
TCGA_AA_A03J_01A,Cancer
TCGA_AA_3519_01A,Cancer
TCGA_AA_3518_01A,Cancer
TCGA_AA_A01T_01A,Cancer
TCGA_CM_6678_01A,Cancer
TCGA_A6_6651_01A,Cancer
TCGA_AA_3850_01A,Cancer
TCGA_AA_3972_01A,Cancer
TCGA_AA_3812_01A,Cancer
TCGA_AY_A69D_01A,Cancer
TCGA_AA_A01Z_01A,Cancer
TCGA_A6_3810_01B,Cancer
TCGA_D5_6530_01A,Cancer
TCGA_AA_3525_01A,Cancer
TCGA_SS_A7HO_01A,Cancer
TCGA_D5_6928_01A,Cancer
TCGA_G4_6315_01A,Cancer
TCGA_D5_6534_01A,Cancer
TCGA_A6_3808_01A,Cancer
TCGA_AA_3664_01A,Cancer
TCGA_A6_2680_11A,Normal
TCGA_G4_6303_01A,Cancer
TCGA_AA_3692_01A,Cancer
TCGA_AA_3968_01A,Cancer
TCGA_AA_3867_01A,Cancer
TCGA_F4_6805_01A,Cancer
TCGA_AA_3560_01A,Cancer
TCGA_D5_5537_01A,Cancer
TCGA_CM_5862_01A,Cancer
TCGA_A6_5659_01B,Cancer
TCGA_D5_6932_01A,Cancer
TCGA_AA_3982_01A,Cancer
TCGA_DM_A28A_01A,Cancer
TCGA_D5_6930_01A,Cancer
TCGA_D5_6529_01A,Cancer
TCGA_A6_2683_01A,Cancer
TCGA_CK_5913_01A,Cancer
TCGA_AA_3496_01A,Cancer
TCGA_G4_6311_01A,Cancer
TCGA_D5_5540_01A,Cancer
TCGA_AD_6901_01A,Cancer
TCGA_AA_A01F_01A,Cancer
TCGA_AA_3552_01A,Cancer
TCGA_A6_5660_01A,Cancer
TCGA_AD_5900_01A,Cancer
TCGA_AA_A01I_01A,Cancer
TCGA_AA_A03F_01A,Cancer
TCGA_AZ_6601_01A,Cancer
TCGA_3L_AA1B_01A,Cancer
TCGA_AA_3693_01A,Cancer
TCGA_AA_3502_01A,Cancer
TCGA_AA_A02E_01A,Cancer
TCGA_A6_5661_01B,Cancer
TCGA_G4_6295_01A,Cancer
TCGA_AA_A01C_01A,Cancer
TCGA_G4_6588_01A,Cancer
TCGA_A6_2680_01A,Cancer
TCGA_AA_3977_01A,Cancer
TCGA_AA_3561_01A,Cancer
TCGA_AA_3973_01A,Cancer
TCGA_A6_6653_01A,Cancer
TCGA_AA_3555_01A,Cancer
